OCC_TITLE,TOT_EMP_NY,H_MEAN_NY,A_MEAN_NY,H_MEDIAN_NY,A_MEDIAN_NY,TOT_EMP_SF,H_MEAN_SF,A_MEAN_SF,H_MEDIAN_SF,A_MEDIAN_SF
New Accounts Clerks,"2,820",21.05,"43,770",21.07,"43,820",530,*,*,*,*
Order Clerks,"7,650",19.43,"40,420",17.52,"36,450","16,600",36.44,"75,800",34.38,"71,520"
"Human Resources Assistants, Except Payroll and Timekeeping","9,580",23.39,"48,640",23.38,"48,620",590,31.15,"64,780",25.85,"53,780"
Receptionists and Information Clerks,"97,540",18.05,"37,550",17.45,"36,290",850,33.74,"70,190",28.95,"60,230"
Reservation and Transportation Ticket Agents and Travel Clerks,"7,280",23.01,"47,870",19.32,"40,180",710,29.62,"61,600",27.71,"57,630"
"Information and Record Clerks, All Other","4,460",24.58,"51,130",24,"49,930","3,080",31.24,"64,970",30.03,"62,460"
Cargo and Freight Agents,"6,890",26.76,"55,660",24.61,"51,200",**,36.35,"75,600",39.42,"81,980"
Couriers and Messengers,"8,130",17.76,"36,940",16.63,"34,590","14,630",28.43,"59,140",28.46,"59,190"
Public Safety Telecommunicators,"6,220",24.28,"50,500",23.18,"48,220",310,31.28,"65,060",29.58,"61,520"
"Dispatchers, Except Police, Fire, and Ambulance","11,850",26.13,"54,350",22.86,"47,560",260,46.95,"97,650",46.96,"97,680"
"Meter Readers, Utilities","1,420",30.06,"62,520",29.25,"60,840","3,330",43.58,"90,650",45.3,"94,220"
Postal Service Clerks,"6,290",25.22,"52,450",24.18,"50,290","3,890",34.25,"71,240",33.07,"68,790"
Postal Service Mail Carriers,"22,140",25.82,"53,700",27.54,"57,270",710,29.8,"61,990",27.26,"56,700"
"Postal Service Mail Sorters, Processors, and Processing Machine Operators","10,880",25.07,"52,140",29.61,"61,590","10,770",51.29,"106,680",50.38,"104,800"
"Production, Planning, and Expediting Clerks","37,470",26.64,"55,410",25.78,"53,610",850,39.06,"81,240",38.2,"79,460"
"Shipping, Receiving, and Inventory Clerks","32,840",19.69,"40,950",18.49,"38,470",150,34.2,"71,130",27.48,"57,150"
"Weighers, Measurers, Checkers, and Samplers, Recordkeeping","3,030",19.79,"41,170",18.82,"39,150","6,060",33.35,"69,360",30.71,"63,880"
Executive Secretaries and Executive Administrative Assistants,"86,350",37.21,"77,390",36.15,"75,190",**,29.48,"61,310",29,"60,310"
Legal Secretaries and Administrative Assistants,"14,330",29.83,"62,050",28.9,"60,110","5,540",51.01,"106,100",53.31,"110,880"
Medical Secretaries and Administrative Assistants,"14,090",21.38,"44,460",20.88,"43,440",670,27.12,"56,410",24.02,"49,960"
"Secretaries and Administrative Assistants, Except Legal, Medical, and Executive","145,780",21.58,"44,880",21.31,"44,310",240,31.61,"65,750",34.57,"71,900"
Data Entry Keyers,"12,180",19.67,"40,910",18.58,"38,650","2,600",28.55,"59,370",28.14,"58,530"
Word Processors and Typists,"8,010",23.04,"47,930",22.5,"46,800","1,740",37.45,"77,900",33.39,"69,460"
Desktop Publishers,450,23.96,"49,830",21.41,"44,530","1,170",37.61,"78,220",41.17,"85,630"
Insurance Claims and Policy Processing Clerks,"8,410",26.92,"55,990",24.74,"51,460",**,29.31,"60,970",28.14,"58,540"
"Mail Clerks and Mail Machine Operators, Except Postal Service","8,690",17.48,"36,360",15.67,"32,590",350,21.74,"45,220",19.29,"40,110"
"Office Clerks, General","164,300",19.03,"39,580",17.66,"36,740",590,21.58,"44,900",21.17,"44,030"
"Office Machine Operators, Except Computer","5,160",18.31,"38,080",17.13,"35,620",310,22.18,"46,130",19.54,"40,650"
Proofreaders and Copy Markers,"1,120",26.98,"56,120",27,"56,160",320,16.76,"34,860",16.22,"33,740"
Statistical Assistants,240,26.45,"55,010",24.45,"50,850",180,21.23,"44,150",20.25,"42,120"
"Office and Administrative Support Workers, All Other","18,100",14.71,"30,590",12.37,"25,720",**,24.18,"50,290",23.67,"49,240"
"Farming, Fishing, and Forestry Occupations","3,920",18.34,"38,150",15.27,"31,760",280,20.73,"43,120",19.51,"40,590"
"First-Line Supervisors of Farming, Fishing, and Forestry Workers",190,30.78,"64,030",33.42,"69,510","1,600",49.91,"103,820",50.43,"104,900"
Agricultural Inspectors,300,31.6,"65,740",32.32,"67,230",740,50.52,"105,080",47.43,"98,660"
Animal Breeders,**,21.2,"44,110",18.49,"38,450",**,21.56,"44,850",21.09,"43,860"
"Farmworkers and Laborers, Crop, Nursery, and Greenhouse","2,240",16.72,"34,770",15,"31,200","1,920",24.08,"50,080",23.24,"48,330"
"Farmworkers, Farm, Ranch, and Aquacultural Animals",**,16.45,"34,220",14.86,"30,920",730,31.39,"65,290",31.96,"66,480"
Forest and Conservation Workers,50,17.92,"37,280",18.51,"38,510",290,37.88,"78,790",36.79,"76,510"
Construction and Extraction Occupations,"296,310",34.05,"70,830",30.26,"62,950",**,51.01,"106,100",56.45,"117,420"
First-Line Supervisors of Construction Trades and Extraction Workers,"19,480",47.79,"99,410",47.54,"98,880",**,23.22,"48,290",25.84,"53,750"
Boilermakers,370,49.55,"103,050",53.34,"110,940",190,33.25,"69,160",32.01,"66,590"
Brickmasons and Blockmasons,"3,350",36.86,"76,670",35.28,"73,390","68,750",32.57,"67,740",30.31,"63,050"
Stonemasons,"1,030",27.21,"56,600",22.61,"47,020","5,820",44.62,"92,810",41.49,"86,300"
Carpenters,"41,500",34.16,"71,050",29.65,"61,680","1,850",22.67,"47,150",20.77,"43,210"
Carpet Installers,650,30.37,"63,180",22.77,"47,360",**,45.97,"95,610",46.05,"95,780"
"Floor Layers, Except Carpet, Wood, and Hard Tiles",440,31.24,"64,970",29.21,"60,760","2,530",40.7,"84,660",44.08,"91,690"
Floor Sanders and Finishers,**,15.08,"31,360",14.09,"29,300",410,44.73,"93,050",45.24,"94,110"
Tile and Stone Setters,"3,650",29.15,"60,630",23.82,"49,550",100,27.77,"57,750",23.83,"49,560"
Cement Masons and Concrete Finishers,"5,970",31.85,"66,250",28.75,"59,790",**,38.95,"81,020",38.46,"80,000"
Terrazzo Workers and Finishers,**,42.89,"89,220",44.28,"92,100",480,46.4,"96,510",47.93,"99,700"
Construction Laborers,"59,570",29.45,"61,250",25.57,"53,200",80,47.29,"98,350",47.95,"99,740"
"Paving, Surfacing, and Tamping Equipment Operators","1,870",33.94,"70,590",33.99,"70,710",**,23.33,"48,520",22.81,"47,450"
Pile Driver Operators,**,51.04,"106,160",55.61,"115,660",**,30.37,"63,160",32.75,"68,130"
Operating Engineers and Other Construction Equipment Operators,"10,370",46.36,"96,440",42.64,"88,690","1,030",25.09,"52,180",25.63,"53,310"
Drywall and Ceiling Tile Installers,"5,640",25.83,"53,730",22.22,"46,220","2,470",41.46,"86,240",43.43,"90,340"
Tapers,360,38.25,"79,550",42.26,"87,890","1,730",29.6,"61,560",29.35,"61,050"
Electricians,"36,580",40.48,"84,190",36.13,"75,150",**,18.59,"38,660",18.4,"38,270"
Glaziers,"2,460",35.15,"73,120",34.29,"71,320","8,200",31.07,"64,630",28.96,"60,230"
"Insulation Workers, Floor, Ceiling, and Wall",370,25.18,"52,380",21.52,"44,770","2,720",34.84,"72,460",34.49,"71,740"
"Insulation Workers, Mechanical",250,51.29,"106,690",57.47,"119,530",**,21.99,"45,740",21.47,"44,650"
"Painters, Construction and Maintenance","13,460",28.06,"58,360",25.15,"52,320","2,170",36.83,"76,610",36.73,"76,390"
Paperhangers,320,29.03,"60,390",24.06,"50,040",**,28.6,"59,490",28.58,"59,450"
Pipelayers,210,32.58,"67,760",32.6,"67,820",60,28.03,"58,310",28.34,"58,940"
"Plumbers, Pipefitters, and Steamfitters","25,650",35.78,"74,420",31.81,"66,160",190,23.84,"49,590",23.79,"49,480"
Plasterers and Stucco Masons,"1,700",*,*,*,*,640,17.57,"36,550",17.37,"36,130"
Reinforcing Iron and Rebar Workers,"1,010",34.06,"70,840",33.5,"69,690",130,21.12,"43,920",20.35,"42,330"
Roofers,"3,800",33.55,"69,780",29.96,"62,320","1,220",18.26,"37,980",17.48,"36,360"
Sheet Metal Workers,"6,610",32.73,"68,080",25.65,"53,360",**,25.42,"52,870",26.54,"55,210"
Structural Iron and Steel Workers,"3,640",40.81,"84,880",43.1,"89,650",470,32.02,"66,610",28.98,"60,280"
Solar Photovoltaic Installers,"1,460",23.86,"49,620",22.2,"46,170","4,560",36.62,"76,180",32.52,"67,640"
"Helpers--Brickmasons, Blockmasons, Stonemasons, and Tile and Marble Setters","1,140",23.91,"49,730",22.66,"47,130",**,28.41,"59,090",28.11,"58,460"
Helpers--Carpenters,"1,420",19.09,"39,710",18.23,"37,910","2,210",37.3,"77,580",36.26,"75,410"
Helpers--Electricians,"5,210",20.7,"43,050",19.44,"40,440",440,29.33,"61,010",28.95,"60,210"
"Helpers--Painters, Paperhangers, Plasterers, and Stucco Masons",330,20.35,"42,340",18.67,"38,830",460,40.91,"85,090",41.39,"86,090"
"Helpers--Pipelayers, Plumbers, Pipefitters, and Steamfitters","3,210",19.88,"41,360",19.41,"40,370",680,55.2,"114,820",56.75,"118,040"
"Helpers, Construction Trades, All Other","1,430",20.59,"42,820",18.16,"37,780","1,610",36.52,"75,960",41.99,"87,340"
Construction and Building Inspectors,"8,350",35.02,"72,840",34.59,"71,950",480,35.72,"74,310",34.45,"71,660"
Elevator and Escalator Installers and Repairers,"4,290",41.97,"87,300",43.19,"89,830",310,44.95,"93,490",45.53,"94,710"
Fence Erectors,790,23.56,"49,010",23.78,"49,460","18,860",27.95,"58,140",25.45,"52,940"
Hazardous Materials Removal Workers,"3,570",30.39,"63,210",31.95,"66,460",**,22.39,"46,570",18.65,"38,800"
Highway Maintenance Workers,"6,200",25.44,"52,910",24.42,"50,790",130,31.38,"65,270",27.98,"58,210"
Rail-Track Laying and Maintenance Equipment Operators,"2,580",35.08,"72,960",36.1,"75,090",**,30.67,"63,800",29.77,"61,930"
Septic Tank Servicers and Sewer Pipe Cleaners,"1,610",24.58,"51,130",24.13,"50,200",670,18.96,"39,440",18.21,"37,870"
Miscellaneous Construction and Related Workers,"1,230",23.71,"49,320",19.49,"40,550","3,070",28.1,"58,440",27.22,"56,620"
"Excavating and Loading Machine and Dragline Operators, Surface Mining","1,400",36.2,"75,290",30.22,"62,860","85,360",24.04,"50,000",21.15,"43,980"
"Rock Splitters, Quarry",**,17.04,"35,450",17.1,"35,560","4,830",37.52,"78,050",35.44,"73,700"
"Earth Drillers, Except Oil and Gas; and Explosives Workers, Ordnance Handling Experts, and Blasters",350,28.58,"59,440",25.16,"52,330",80,*,*,*,*
"Underground Mining Machine Operators and Extraction Workers, All Other",120,20.33,"42,280",14.96,"31,110","5,600",22.79,"47,410",21.7,"45,130"
"Installation, Maintenance, and Repair Occupations","286,610",28.93,"60,160",27.48,"57,150",330,25.82,"53,700",26.28,"54,670"
"First-Line Supervisors of Mechanics, Installers, and Repairers","24,410",41.38,"86,060",40.61,"84,470",**,21.72,"45,180",21.63,"45,000"
"Computer, Automated Teller, and Office Machine Repairers","6,410",24.16,"50,260",23.55,"48,980","16,160",21.33,"44,370",20.96,"43,590"
"Radio, Cellular, and Tower Equipment Installers and Repairers","1,080",36.63,"76,180",41.61,"86,550","3,440",18.58,"38,640",18.26,"37,980"
"Telecommunications Equipment Installers and Repairers, Except Line Installers","8,870",33.61,"69,900",36.72,"76,390","2,130",19.8,"41,170",19.63,"40,830"
Avionics Technicians,430,36.51,"75,940",36.48,"75,890","1,070",17.84,"37,110",17.84,"37,100"
"Electric Motor, Power Tool, and Related Repairers",360,22.32,"46,420",20.18,"41,980",**,16.61,"34,540",15.96,"33,190"
"Electrical and Electronics Installers and Repairers, Transportation Equipment",450,32.11,"66,800",35.23,"73,270",90,18.97,"39,460",19.33,"40,210"
"Electrical and Electronics Repairers, Commercial and Industrial Equipment","1,580",29.92,"62,240",29.09,"60,500","1,470",17.84,"37,110",17.42,"36,240"
"Electrical and Electronics Repairers, Powerhouse, Substation, and Relay","2,850",42.22,"87,820",41.26,"85,810",**,15.05,"31,300",13.02,"27,080"
"Electronic Equipment Installers and Repairers, Motor Vehicles",**,19.29,"40,110",16.33,"33,970",790,17.38,"36,160",17.39,"36,170"
Audiovisual Equipment Installers and Repairers,"1,680",22.69,"47,190",22.42,"46,630",450,16.94,"35,230",15.36,"31,940"
Security and Fire Alarm Systems Installers,"4,740",29.98,"62,350",28.97,"60,270",140,23.52,"48,920",24.96,"51,910"
Aircraft Mechanics and Service Technicians,"4,580",37.86,"78,740",38.14,"79,320",**,20.67,"42,990",19.72,"41,020"
Automotive Body and Related Repairers,"6,500",25.5,"53,040",25.13,"52,260","1,010",21.05,"43,780",19.79,"41,160"
Automotive Glass Installers and Repairers,**,16.8,"34,940",14.67,"30,520",520,22.74,"47,290",22.13,"46,040"
Automotive Service Technicians and Mechanics,"28,540",24.31,"50,570",22.18,"46,130",170,22.39,"46,580",19.16,"39,850"
Bus and Truck Mechanics and Diesel Engine Specialists,"11,220",30.91,"64,300",30.72,"63,890",100,23.12,"48,090",22.28,"46,340"
Farm Equipment Mechanics and Service Technicians,**,31.37,"65,240",29.29,"60,930","3,330",28.63,"59,560",27.38,"56,950"
"Mobile Heavy Equipment Mechanics, Except Engines","3,190",36.68,"76,300",32.77,"68,170",40,23.53,"48,950",23.66,"49,210"
Rail Car Repairers,870,37.82,"78,660",39.1,"81,320",70,20.1,"41,820",19.35,"40,250"
Motorboat Mechanics and Service Technicians,830,19.58,"40,720",15.82,"32,910",120,20.7,"43,060",19.99,"41,570"
Motorcycle Mechanics,330,21.85,"45,440",22.17,"46,110",450,20.83,"43,320",19.1,"39,730"
Outdoor Power Equipment and Other Small Engine Mechanics,740,24.04,"50,000",23.31,"48,480",580,18.87,"39,250",17.98,"37,400"
Bicycle Repairers,460,17.44,"36,280",16.34,"33,980",210,34.82,"72,420",34.35,"71,450"
Recreational Vehicle Service Technicians,250,23.9,"49,710",23.31,"48,480","2,400",28.62,"59,530",26.69,"55,520"
Tire Repairers and Changers,"1,820",16.99,"35,340",16.34,"33,990",360,22.25,"46,280",21.95,"45,660"
Mechanical Door Repairers,610,23.22,"48,300",21.47,"44,660",780,21.33,"44,360",19.38,"40,310"
"Control and Valve Installers and Repairers, Except Mechanical Door","3,490",38.92,"80,950",38.98,"81,080",160,20.11,"41,840",18.58,"38,640"
"Heating, Air Conditioning, and Refrigeration Mechanics and Installers","17,120",32.58,"67,780",31.91,"66,370",260,23.97,"49,850",19.04,"39,610"
Home Appliance Repairers,"1,310",24.27,"50,480",25.1,"52,200",130,27.31,"56,810",27.61,"57,430"
Industrial Machinery Mechanics,"11,230",30.77,"64,010",29.57,"61,500","1,130",22.36,"46,500",20.57,"42,780"
"Maintenance Workers, Machinery","1,790",29.68,"61,730",25.03,"52,070",520,18.41,"38,290",17.12,"35,600"
Millwrights,590,39.31,"81,770",40.14,"83,490","1,670",18.67,"38,840",17.64,"36,700"
Electrical Power-Line Installers and Repairers,"3,080",45.65,"94,950",46.85,"97,440",820,15.82,"32,900",14.88,"30,940"
Telecommunications Line Installers and Repairers,"10,700",39.22,"81,590",43.55,"90,580","1,140",17,"35,370",16.45,"34,210"
Camera and Photographic Equipment Repairers,330,23.01,"47,860",22.71,"47,240",70,15.72,"32,690",16.15,"33,600"
Medical Equipment Repairers,"2,100",33.11,"68,870",32.05,"66,670",600,26.52,"55,150",27.09,"56,340"
Musical Instrument Repairers and Tuners,370,20.39,"42,410",18.58,"38,640",**,16.95,"35,250",16.38,"34,070"
Watch and Clock Repairers,410,27.57,"57,340",23.9,"49,700",**,16.63,"34,600",14.93,"31,060"
"Precision Instrument and Equipment Repairers, All Other",460,31.27,"65,040",30.58,"63,610",**,14.7,"30,570",14.17,"29,480"
"Maintenance and Repair Workers, General","104,130",24.5,"50,950",23.75,"49,410",110,37.14,"77,250",43.26,"89,970"
"Coin, Vending, and Amusement Machine Servicers and Repairers","1,340",27.37,"56,940",27.93,"58,100",190,21.46,"44,640",20.6,"42,860"
Commercial Divers,190,37.05,"77,070",29.93,"62,250",120,17.46,"36,310",15.18,"31,570"
Locksmiths and Safe Repairers,760,26.34,"54,790",26.59,"55,300",780,22.68,"47,180",19.37,"40,290"
Riggers,850,37.52,"78,040",33.4,"69,470",110,17.16,"35,690",16.22,"33,730"
Signal and Track Switch Repairers,"1,100",39.27,"81,670",38.77,"80,630",110,16.37,"34,040",14.95,"31,090"
"Helpers--Installation, Maintenance, and Repair Workers","4,290",18.87,"39,240",16.98,"35,310",270,18.87,"39,260",17.72,"36,850"
"Installation, Maintenance, and Repair Workers, All Other","5,790",23.61,"49,100",21.21,"44,120",440,49.19,"102,310",52.04,"108,240"
Production Occupations,"257,690",21.28,"44,260",17.81,"37,050",760,50.46,"104,970",50.98,"106,050"
First-Line Supervisors of Production and Operating Workers,"19,140",35.93,"74,720",34.93,"72,660","1,010",47.66,"99,130",49.65,"103,260"
"Aircraft Structure, Surfaces, Rigging, and Systems Assemblers",130,22.23,"46,250",21.42,"44,560",**,28.55,"59,390",29.09,"60,510"
"Coil Winders, Tapers, and Finishers",240,15.99,"33,260",14.47,"30,100","2,250",44.62,"92,800",45.92,"95,500"
"Electrical, Electronic, and Electromechanical Assemblers, Except Coil Winders, Tapers, and Finishers","8,830",18.97,"39,460",17.89,"37,220",110,40.12,"83,450",41.18,"85,650"
Engine and Other Machine Assemblers,250,16.69,"34,710",15,"31,200",**,25.36,"52,750",26.09,"54,270"
Structural Metal Fabricators and Fitters,"1,710",25.44,"52,920",23.16,"48,170",770,27.16,"56,490",26.95,"56,050"
Fiberglass Laminators and Fabricators,**,20.62,"42,880",19.31,"40,160",240,20.5,"42,640",19.19,"39,920"
Miscellaneous Assemblers and Fabricators,"24,810",16.92,"35,180",15.08,"31,370",420,23.75,"49,390",20.63,"42,910"
Bakers,"9,930",16.84,"35,020",15.62,"32,500","1,160",21.2,"44,100",19.64,"40,840"
Butchers and Meat Cutters,"10,150",17.35,"36,080",14.15,"29,430",60,20.18,"41,970",16.57,"34,460"
"Meat, Poultry, and Fish Cutters and Trimmers","2,100",16.48,"34,280",15.46,"32,160",380,20.15,"41,910",19.34,"40,230"
Slaughterers and Meat Packers,910,15.56,"32,370",15.66,"32,580",430,18.94,"39,400",18.23,"37,920"
"Food and Tobacco Roasting, Baking, and Drying Machine Operators and Tenders","1,140",18.61,"38,710",16.07,"33,420","6,380",24.06,"50,050",22.31,"46,390"
Food Batchmakers,"7,500",15.54,"32,330",14.12,"29,370",510,17.94,"37,320",17.77,"36,970"
Food Cooking Machine Operators and Tenders,"1,300",15.11,"31,430",13.93,"28,970",360,20.67,"42,990",20.41,"42,450"
"Food Processing Workers, All Other","1,130",13.74,"28,570",12.72,"26,460",150,29.83,"62,040",31.4,"65,320"
"Extruding and Drawing Machine Setters, Operators, and Tenders, Metal and Plastic","1,970",17.41,"36,210",16.28,"33,870",150,23.05,"47,930",21.56,"44,840"
"Forging Machine Setters, Operators, and Tenders, Metal and Plastic",330,23.07,"47,980",23.89,"49,690","4,000",17.97,"37,370",16.62,"34,580"
"Rolling Machine Setters, Operators, and Tenders, Metal and Plastic",790,17.72,"36,850",16.73,"34,800",40,24.26,"50,470",27.08,"56,330"
"Cutting, Punching, and Press Machine Setters, Operators, and Tenders, Metal and Plastic","3,620",18.35,"38,160",16.49,"34,300","1,270",25.03,"52,060",25.11,"52,230"
"Grinding, Lapping, Polishing, and Buffing Machine Tool Setters, Operators, and Tenders, Metal and Plastic","1,500",18.5,"38,470",18.01,"37,460",450,23.37,"48,600",22.62,"47,050"
"Lathe and Turning Machine Tool Setters, Operators, and Tenders, Metal and Plastic",660,21.98,"45,720",18.17,"37,800",**,25.74,"53,550",24.49,"50,930"
"Milling and Planing Machine Setters, Operators, and Tenders, Metal and Plastic",230,23.92,"49,760",21.61,"44,950",900,24.5,"50,960",23.79,"49,480"
Machinists,"6,620",25.38,"52,800",24.04,"50,010",160,40.01,"83,220",39.85,"82,900"
Metal-Refining Furnace Operators and Tenders,170,23.7,"49,300",23.55,"48,980",**,19.55,"40,660",18.83,"39,170"
"Pourers and Casters, Metal",**,20.44,"42,510",20.17,"41,950",30,21.13,"43,950",23.76,"49,410"
"Model Makers, Metal and Plastic",120,25.49,"53,020",22.73,"47,270",410,23.64,"49,170",23.61,"49,100"
"Molding, Coremaking, and Casting Machine Setters, Operators, and Tenders, Metal and Plastic","1,650",16.19,"33,670",14.59,"30,340",200,20.16,"41,930",20.49,"42,620"
"Multiple Machine Tool Setters, Operators, and Tenders, Metal and Plastic","1,580",18.2,"37,860",16.82,"34,980","1,530",18.23,"37,910",17.9,"37,230"
Tool and Die Makers,780,28.7,"59,700",29.24,"60,810","2,190",19.61,"40,790",17.35,"36,090"
"Welders, Cutters, Solderers, and Brazers","6,000",26.6,"55,330",23.2,"48,250","169,240",24.41,"50,760",19.63,"40,830"
"Welding, Soldering, and Brazing Machine Setters, Operators, and Tenders",610,22.13,"46,020",19.95,"41,500",110,30.71,"63,880",26.3,"54,700"
"Heat Treating Equipment Setters, Operators, and Tenders, Metal and Plastic",180,19.75,"41,080",18.65,"38,800","6,070",33.83,"70,370",30.49,"63,420"
"Plating Machine Setters, Operators, and Tenders, Metal and Plastic",730,18.85,"39,210",17.29,"35,970","3,290",*,"252,430",*,#
"Tool Grinders, Filers, and Sharpeners",**,20.86,"43,390",18.75,"39,000",340,*,*,*,*
"Metal Workers and Plastic Workers, All Other",210,18.12,"37,680",16.96,"35,270",410,71.64,"149,020",78.53,"163,340"
Prepress Technicians and Workers,"1,510",25.12,"52,240",23.85,"49,610",70,36.38,"75,680",34.47,"71,700"
Printing Press Operators,"6,910",22.32,"46,420",21.41,"44,530","6,600",*,"55,100",*,"57,680"
Print Binding and Finishing Workers,"2,020",18.5,"38,470",17.25,"35,870",**,15.47,"32,170",14.79,"30,760"
Laundry and Dry-Cleaning Workers,"13,110",14.54,"30,250",13.28,"27,630","5,660",18.18,"37,800",14.78,"30,740"
"Pressers, Textile, Garment, and Related Materials","1,400",14.17,"29,480",12.69,"26,390","13,050",27.78,"57,790",27.72,"57,650"
Sewing Machine Operators,"7,540",15.62,"32,480",14.73,"30,630","16,790",25.2,"52,420",23.48,"48,830"
Shoe and Leather Workers and Repairers,520,*,*,*,*,"8,570",29.71,"61,810",29.88,"62,140"
Shoe Machine Operators and Tenders,60,14.8,"30,780",15.45,"32,140","14,330",18,"37,440",15.46,"32,160"
"Sewers, Hand",**,16.25,"33,800",16.16,"33,610",**,28.42,"59,120",29.13,"60,580"
"Tailors, Dressmakers, and Custom Sewers","1,440",20.66,"42,980",19.54,"40,640",**,28.09,"58,430",28.4,"59,080"
"Textile Cutting Machine Setters, Operators, and Tenders",590,16.51,"34,350",16.15,"33,590",350,25.23,"52,470",23.41,"48,690"
"Textile Knitting and Weaving Machine Setters, Operators, and Tenders",650,14.95,"31,100",13.83,"28,760",470,52.19,"108,560",48.58,"101,040"
"Textile Winding, Twisting, and Drawing Out Machine Setters, Operators, and Tenders",270,16.96,"35,280",16.55,"34,430",30,48.16,"100,170",45.68,"95,010"
Fabric and Apparel Patternmakers,980,39.76,"82,710",37.66,"78,340","3,170",16.99,"35,330",15.2,"31,610"
Upholsterers,540,18.8,"39,110",15.65,"32,560",**,15.9,"33,070",15.14,"31,500"
"Textile, Apparel, and Furnishings Workers, All Other",510,15.58,"32,400",11.99,"24,940",**,42.54,"88,490",43.64,"90,760"
Cabinetmakers and Bench Carpenters,"2,850",25.98,"54,040",24.94,"51,880",610,47.12,"98,000",49.98,"103,950"
Furniture Finishers,670,19.98,"41,560",18.07,"37,580",**,15.28,"31,780",13.71,"28,520"
"Sawing Machine Setters, Operators, and Tenders, Wood",310,18.92,"39,350",17.82,"37,060",740,26.27,"54,640",23.34,"48,540"
"Woodworking Machine Setters, Operators, and Tenders, Except Sawing","1,420",18.39,"38,260",17,"35,350",220,*,*,*,*
"Woodworkers, All Other",40,16.53,"34,390",12.11,"25,190",350,38.83,"80,780",37.98,"78,990"
Power Distributors and Dispatchers,300,51.73,"107,600",53.4,"111,070",90,38.68,"80,450",42.2,"87,770"
Power Plant Operators,"1,440",45.66,"94,960",47.47,"98,730","5,620",22.52,"46,840",21.98,"45,730"
Stationary Engineers and Boiler Operators,"3,200",43.69,"90,880",42.23,"87,830","6,250",17.19,"35,750",16.65,"34,620"
Water and Wastewater Treatment Plant and System Operators,"3,920",35.75,"74,350",36.48,"75,880","35,720",20.1,"41,820",18.84,"39,180"
Chemical Plant and System Operators,450,35.64,"74,120",37.8,"78,630",420,22.85,"47,520",23.4,"48,680"
Gas Plant Operators,480,44.31,"92,160",45.41,"94,450","7,330",17.24,"35,850",16.29,"33,880"
"Petroleum Pump System Operators, Refinery Operators, and Gaugers",440,40.22,"83,660",38.9,"80,900","26,460",18.28,"38,020",16.87,"35,090"
"Plant and System Operators, All Other",240,30.46,"63,350",30.31,"63,050",50,27.27,"56,710",23.38,"48,630"
Chemical Equipment Operators and Tenders,"4,890",24.51,"50,990",22.47,"46,740","2,330",*,*,*,*
"Separating, Filtering, Clarifying, Precipitating, and Still Machine Setters, Operators, and Tenders",840,24.26,"50,470",23.78,"49,450",**,29.89,"62,180",33.48,"69,630"
"Crushing, Grinding, and Polishing Machine Setters, Operators, and Tenders","1,410",17.96,"37,350",16.8,"34,950",900,15.9,"33,080",14.83,"30,850"
"Grinding and Polishing Workers, Hand","1,160",21.28,"44,250",20.33,"42,290",,,,,
"Mixing and Blending Machine Setters, Operators, and Tenders","4,890",20.33,"42,300",19.47,"40,500",,,,,
"Cutters and Trimmers, Hand",690,16.13,"33,540",11.97,"24,890",,,,,
"Cutting and Slicing Machine Setters, Operators, and Tenders","1,570",18.15,"37,760",16.14,"33,560",,,,,
"Extruding, Forming, Pressing, and Compacting Machine Setters, Operators, and Tenders","2,790",20.64,"42,940",19.47,"40,490",,,,,
"Furnace, Kiln, Oven, Drier, and Kettle Operators and Tenders",250,24.14,"50,210",24.75,"51,480",,,,,
"Inspectors, Testers, Sorters, Samplers, and Weighers","18,080",22.44,"46,670",20.71,"43,080",,,,,
Jewelers and Precious Stone and Metal Workers,"3,740",29.86,"62,100",26.36,"54,830",,,,,
Dental Laboratory Technicians,880,32.03,"66,610",29.52,"61,400",,,,,
Medical Appliance Technicians,"1,080",20.64,"42,930",19.01,"39,550",,,,,
Ophthalmic Laboratory Technicians,"1,650",18.13,"37,700",17.3,"35,990",,,,,
Packaging and Filling Machine Operators and Tenders,"17,020",15.8,"32,860",14.45,"30,060",,,,,
"Painting, Coating, and Decorating Workers",680,18.91,"39,340",16.24,"33,770",,,,,
"Coating, Painting, and Spraying Machine Setters, Operators, and Tenders","2,570",20.4,"42,430",19.58,"40,720",,,,,
Semiconductor Processing Technicians,530,22.76,"47,350",21.46,"44,640",,,,,
Photographic Process Workers and Processing Machine Operators,610,21.64,"45,020",17.9,"37,240",,,,,
Computer Numerically Controlled Tool Operators,"2,610",21.09,"43,860",19.68,"40,940",,,,,
Computer Numerically Controlled Tool Programmers,540,29.05,"60,430",28.42,"59,120",,,,,
Adhesive Bonding Machine Operators and Tenders,240,18.84,"39,190",18.37,"38,210",,,,,
"Cleaning, Washing, and Metal Pickling Equipment Operators and Tenders",630,16.35,"34,020",15.93,"33,120",,,,,
Cooling and Freezing Equipment Operators and Tenders,160,26.47,"55,070",24.18,"50,300",,,,,
Etchers and Engravers,430,18.42,"38,300",15.66,"32,570",,,,,
"Molders, Shapers, and Casters, Except Metal and Plastic",820,21.67,"45,080",19.54,"40,650",,,,,
"Paper Goods Machine Setters, Operators, and Tenders","3,700",17.47,"36,350",16.32,"33,950",,,,,
Helpers--Production Workers,"4,710",16.44,"34,200",15.02,"31,250",,,,,
